Date,Licenses_Issued,Day_of_Week,Month
2023-01-01,9,Sun,Jan
2023-01-02,12,Mon,Jan
2023-01-03,14,Tue,Jan
2023-01-04,8,Wed,Jan
2023-01-05,6,Thu,Jan
2023-01-06,9,Fri,Jan
2023-01-07,11,Sat,Jan
2023-01-08,10,Sun,Jan
2023-01-09,11,Mon,Jan
2023-01-10,8,Tue,Jan
2023-01-11,7,Wed,Jan
2023-01-12,8,Thu,Jan
2023-01-13,11,Fri,Jan
2023-01-14,9,Sat,Jan
2023-01-15,10,Sun,Jan
2023-01-16,8,Mon,Jan
2023-01-17,8,Tue,Jan
2023-01-18,10,Wed,Jan
2023-01-19,6,Thu,Jan
2023-01-20,9,Fri,Jan
2023-01-21,10,Sat,Jan
2023-01-22,6,Sun,Jan
2023-01-23,10,Mon,Jan
2023-01-24,9,Tue,Jan
2023-01-25,14,Wed,Jan
2023-01-26,9,Thu,Jan
2023-01-27,9,Fri,Jan
2023-01-28,8,Sat,Jan
2023-01-29,7,Sun,Jan
2023-01-30,13,Mon,Jan
2023-01-31,12,Tue,Jan
2023-02-01,9,Wed,Feb
2023-02-02,15,Thu,Feb
2023-02-03,9,Fri,Feb
2023-02-04,12,Sat,Feb
2023-02-05,13,Sun,Feb
2023-02-06,9,Mon,Feb
2023-02-07,7,Tue,Feb
2023-02-08,11,Wed,Feb
2023-02-09,10,Thu,Feb
2023-02-10,11,Fri,Feb
2023-02-11,17,Sat,Feb
2023-02-12,16,Sun,Feb
2023-02-13,14,Mon,Feb
2023-02-14,8,Tue,Feb
2023-02-15,16,Wed,Feb
2023-02-16,9,Thu,Feb
2023-02-17,8,Fri,Feb
2023-02-18,14,Sat,Feb
2023-02-19,10,Sun,Feb
2023-02-20,12,Mon,Feb
2023-02-21,10,Tue,Feb
2023-02-22,14,Wed,Feb
2023-02-23,9,Thu,Feb
2023-02-24,8,Fri,Feb
2023-02-25,12,Sat,Feb
2023-02-26,15,Sun,Feb
2023-02-27,14,Mon,Feb
2023-02-28,4,Tue,Feb
2023-03-01,9,Wed,Mar
2023-03-02,12,Thu,Mar
2023-03-03,10,Fri,Mar
2023-03-04,8,Sat,Mar
2023-03-05,7,Sun,Mar
2023-03-06,13,Mon,Mar
2023-03-07,7,Tue,Mar
2023-03-08,10,Wed,Mar
2023-03-09,10,Thu,Mar
2023-03-10,11,Fri,Mar
2023-03-11,10,Sat,Mar
2023-03-12,11,Sun,Mar
2023-03-13,8,Mon,Mar
2023-03-14,7,Tue,Mar
2023-03-15,10,Wed,Mar
2023-03-16,2,Thu,Mar
2023-03-17,8,Fri,Mar
2023-03-18,10,Sat,Mar
2023-03-19,8,Sun,Mar
2023-03-20,11,Mon,Mar
2023-03-21,16,Tue,Mar
2023-03-22,7,Wed,Mar
2023-03-23,10,Thu,Mar
2023-03-24,9,Fri,Mar
2023-03-25,9,Sat,Mar
2023-03-26,8,Sun,Mar
2023-03-27,12,Mon,Mar
2023-03-28,8,Tue,Mar
2023-03-29,8,Wed,Mar
2023-03-30,15,Thu,Mar
2023-03-31,7,Fri,Mar
2023-04-01,8,Sat,Apr
2023-04-02,14,Sun,Apr
2023-04-03,6,Mon,Apr
2023-04-04,13,Tue,Apr
2023-04-05,15,Wed,Apr
2023-04-06,7,Thu,Apr
2023-04-07,14,Fri,Apr
2023-04-08,12,Sat,Apr
2023-04-09,8,Sun,Apr
2023-04-10,9,Mon,Apr
2023-04-11,12,Tue,Apr
2023-04-12,8,Wed,Apr
2023-04-13,9,Thu,Apr
2023-04-14,7,Fri,Apr
2023-04-15,12,Sat,Apr
2023-04-16,11,Sun,Apr
2023-04-17,12,Mon,Apr
2023-04-18,11,Tue,Apr
2023-04-19,10,Wed,Apr
2023-04-20,12,Thu,Apr
2023-04-21,14,Fri,Apr
2023-04-22,9,Sat,Apr
2023-04-23,8,Sun,Apr
2023-04-24,11,Mon,Apr
2023-04-25,7,Tue,Apr
2023-04-26,17,Wed,Apr
2023-04-27,7,Thu,Apr
2023-04-28,11,Fri,Apr
2023-04-29,14,Sat,Apr
2023-04-30,10,Sun,Apr
2023-05-01,9,Mon,May
2023-05-02,9,Tue,May
2023-05-03,10,Wed,May
2023-05-04,9,Thu,May
2023-05-05,10,Fri,May
2023-05-06,15,Sat,May
2023-05-07,7,Sun,May
2023-05-08,11,Mon,May
2023-05-09,15,Tue,May
2023-05-10,12,Wed,May
2023-05-11,15,Thu,May
2023-05-12,12,Fri,May
2023-05-13,3,Sat,May
2023-05-14,10,Sun,May
2023-05-15,6,Mon,May
2023-05-16,8,Tue,May
2023-05-17,10,Wed,May
2023-05-18,14,Thu,May
2023-05-19,13,Fri,May
2023-05-20,7,Sat,May
2023-05-21,12,Sun,May
2023-05-22,14,Mon,May
2023-05-23,7,Tue,May
2023-05-24,7,Wed,May
2023-05-25,14,Thu,May
2023-05-26,10,Fri,May
2023-05-27,12,Sat,May
2023-05-28,8,Sun,May
2023-05-29,11,Mon,May
2023-05-30,13,Tue,May
2023-05-31,15,Wed,May
2023-06-01,22,Thu,Jun
2023-06-02,11,Fri,Jun
2023-06-03,11,Sat,Jun
2023-06-04,13,Sun,Jun
2023-06-05,7,Mon,Jun
2023-06-06,14,Tue,Jun
2023-06-07,12,Wed,Jun
2023-06-08,10,Thu,Jun
2023-06-09,15,Fri,Jun
2023-06-10,12,Sat,Jun
2023-06-11,13,Sun,Jun
2023-06-12,8,Mon,Jun
2023-06-13,9,Tue,Jun
2023-06-14,9,Wed,Jun
2023-06-15,10,Thu,Jun
2023-06-16,11,Fri,Jun
2023-06-17,5,Sat,Jun
2023-06-18,15,Sun,Jun
2023-06-19,7,Mon,Jun
2023-06-20,14,Tue,Jun
2023-06-21,13,Wed,Jun
2023-06-22,9,Thu,Jun
2023-06-23,9,Fri,Jun
2023-06-24,13,Sat,Jun
2023-06-25,17,Sun,Jun
2023-06-26,12,Mon,Jun
2023-06-27,5,Tue,Jun
2023-06-28,10,Wed,Jun
2023-06-29,11,Thu,Jun
2023-06-30,13,Fri,Jun
2023-07-01,8,Sat,Jul
2023-07-02,12,Sun,Jul
2023-07-03,13,Mon,Jul
2023-07-04,6,Tue,Jul
2023-07-05,11,Wed,Jul
2023-07-06,10,Thu,Jul
2023-07-07,17,Fri,Jul
2023-07-08,7,Sat,Jul
2023-07-09,16,Sun,Jul
2023-07-10,9,Mon,Jul
2023-07-11,9,Tue,Jul
2023-07-12,12,Wed,Jul
2023-07-13,9,Thu,Jul
2023-07-14,7,Fri,Jul
2023-07-15,7,Sat,Jul
2023-07-16,9,Sun,Jul
2023-07-17,11,Mon,Jul
2023-07-18,9,Tue,Jul
2023-07-19,7,Wed,Jul
2023-07-20,15,Thu,Jul
2023-07-21,11,Fri,Jul
2023-07-22,14,Sat,Jul
2023-07-23,12,Sun,Jul
2023-07-24,8,Mon,Jul
2023-07-25,18,Tue,Jul
2023-07-26,13,Wed,Jul
2023-07-27,15,Thu,Jul
2023-07-28,7,Fri,Jul
2023-07-29,10,Sat,Jul
2023-07-30,13,Sun,Jul
2023-07-31,12,Mon,Jul
2023-08-01,15,Tue,Aug
2023-08-02,8,Wed,Aug
2023-08-03,8,Thu,Aug
2023-08-04,7,Fri,Aug
2023-08-05,10,Sat,Aug
2023-08-06,14,Sun,Aug
2023-08-07,11,Mon,Aug
2023-08-08,16,Tue,Aug
2023-08-09,10,Wed,Aug
2023-08-10,12,Thu,Aug
2023-08-11,10,Fri,Aug
2023-08-12,7,Sat,Aug
2023-08-13,12,Sun,Aug
2023-08-14,7,Mon,Aug
2023-08-15,12,Tue,Aug
2023-08-16,12,Wed,Aug
2023-08-17,12,Thu,Aug
2023-08-18,5,Fri,Aug
2023-08-19,13,Sat,Aug
2023-08-20,8,Sun,Aug
2023-08-21,16,Mon,Aug
2023-08-22,13,Tue,Aug
2023-08-23,3,Wed,Aug
2023-08-24,8,Thu,Aug
2023-08-25,14,Fri,Aug
2023-08-26,9,Sat,Aug
2023-08-27,5,Sun,Aug
2023-08-28,13,Mon,Aug
2023-08-29,7,Tue,Aug
2023-08-30,11,Wed,Aug
2023-08-31,10,Thu,Aug
2023-09-01,9,Fri,Sep
2023-09-02,8,Sat,Sep
2023-09-03,8,Sun,Sep
2023-09-04,10,Mon,Sep
2023-09-05,12,Tue,Sep
2023-09-06,13,Wed,Sep
2023-09-07,14,Thu,Sep
2023-09-08,6,Fri,Sep
2023-09-09,9,Sat,Sep
2023-09-10,12,Sun,Sep
2023-09-11,14,Mon,Sep
2023-09-12,10,Tue,Sep
2023-09-13,3,Wed,Sep
2023-09-14,7,Thu,Sep
2023-09-15,10,Fri,Sep
2023-09-16,6,Sat,Sep
2023-09-17,10,Sun,Sep
2023-09-18,11,Mon,Sep
2023-09-19,14,Tue,Sep
2023-09-20,11,Wed,Sep
2023-09-21,10,Thu,Sep
2023-09-22,14,Fri,Sep
2023-09-23,13,Sat,Sep
2023-09-24,11,Sun,Sep
2023-09-25,9,Mon,Sep
2023-09-26,6,Tue,Sep
2023-09-27,11,Wed,Sep
2023-09-28,8,Thu,Sep
2023-09-29,13,Fri,Sep
2023-09-30,13,Sat,Sep
2023-10-01,7,Sun,Oct
2023-10-02,6,Mon,Oct
2023-10-03,11,Tue,Oct
2023-10-04,11,Wed,Oct
2023-10-05,10,Thu,Oct
2023-10-06,11,Fri,Oct
2023-10-07,8,Sat,Oct
2023-10-08,15,Sun,Oct
2023-10-09,8,Mon,Oct
2023-10-10,19,Tue,Oct
2023-10-11,10,Wed,Oct
2023-10-12,2,Thu,Oct
2023-10-13,7,Fri,Oct
2023-10-14,10,Sat,Oct
2023-10-15,12,Sun,Oct
2023-10-16,13,Mon,Oct
2023-10-17,9,Tue,Oct
2023-10-18,13,Wed,Oct
2023-10-19,9,Thu,Oct
2023-10-20,7,Fri,Oct
2023-10-21,12,Sat,Oct
2023-10-22,5,Sun,Oct
2023-10-23,10,Mon,Oct
2023-10-24,13,Tue,Oct
2023-10-25,6,Wed,Oct
2023-10-26,7,Thu,Oct
2023-10-27,8,Fri,Oct
2023-10-28,3,Sat,Oct
2023-10-29,15,Sun,Oct
2023-10-30,10,Mon,Oct
2023-10-31,8,Tue,Oct
2023-11-01,7,Wed,Nov
2023-11-02,5,Thu,Nov
2023-11-03,11,Fri,Nov
2023-11-04,13,Sat,Nov
2023-11-05,5,Sun,Nov
2023-11-06,9,Mon,Nov
2023-11-07,13,Tue,Nov
2023-11-08,8,Wed,Nov
2023-11-09,10,Thu,Nov
2023-11-10,11,Fri,Nov
2023-11-11,7,Sat,Nov
2023-11-12,13,Sun,Nov
2023-11-13,12,Mon,Nov
2023-11-14,6,Tue,Nov
2023-11-15,14,Wed,Nov
2023-11-16,11,Thu,Nov
2023-11-17,8,Fri,Nov
2023-11-18,13,Sat,Nov
2023-11-19,10,Sun,Nov
2023-11-20,15,Mon,Nov
2023-11-21,11,Tue,Nov
2023-11-22,11,Wed,Nov
2023-11-23,14,Thu,Nov
2023-11-24,15,Fri,Nov
2023-11-25,15,Sat,Nov
2023-11-26,4,Sun,Nov
2023-11-27,9,Mon,Nov
2023-11-28,11,Tue,Nov
2023-11-29,8,Wed,Nov
2023-11-30,9,Thu,Nov
2023-12-01,8,Fri,Dec
2023-12-02,10,Sat,Dec
2023-12-03,15,Sun,Dec
2023-12-04,12,Mon,Dec
2023-12-05,6,Tue,Dec
2023-12-06,16,Wed,Dec
2023-12-07,16,Thu,Dec
2023-12-08,8,Fri,Dec
2023-12-09,19,Sat,Dec
2023-12-10,20,Sun,Dec
2023-12-11,11,Mon,Dec
2023-12-12,13,Tue,Dec
2023-12-13,12,Wed,Dec
2023-12-14,8,Thu,Dec
2023-12-15,5,Fri,Dec
2023-12-16,10,Sat,Dec
2023-12-17,6,Sun,Dec
2023-12-18,8,Mon,Dec
2023-12-19,9,Tue,Dec
2023-12-20,9,Wed,Dec
2023-12-21,14,Thu,Dec
2023-12-22,14,Fri,Dec
2023-12-23,8,Sat,Dec
2023-12-24,10,Sun,Dec
2023-12-25,12,Mon,Dec
2023-12-26,10,Tue,Dec
2023-12-27,8,Wed,Dec
2023-12-28,10,Thu,Dec
2023-12-29,11,Fri,Dec
2023-12-30,13,Sat,Dec
2023-12-31,5,Sun,Dec
